slug,name,scientificname,completeness_score,classification,priority,missing_fields
coca-leaf,coca leaf,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
coffee,coffee,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
cola-acuminata,cola acuminata,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
cola-nitida,cola nitida,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
coleus-blumei,coleus blumei,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
tussilago-farfara,coltsfoot,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
combretum-quadrangulare,combretum quadrangulare,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
convolvulus-arvensis,convolvulus arvensis,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
copal,copal,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
zea-mays-stigma,corn silk,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
corydalis-yanhusuo,corydalis yanhusuo,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
viburnum-opulus,cramp bark,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
crataegus-monogyna,crataegus monogyna,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
crocus-sativus,crocus sativus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
cyperus-articulatus,cyperus articulatus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
cytisus-scoparius,cytisus scoparius,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
damiana,damiana,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
datura-inoxia,datura inoxia,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
datura-metel,datura metel,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
derris-elliptica,derris elliptica,Derris elliptica,6,ready_for_research,high,
desfontainia-spinosa,desfontainia spinosa,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
desmanthus-illinoensis,desmanthus illinoensis,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
desmodium-adscendens,desmodium adscendens,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
desmodium-gangeticum,desmodium gangeticum,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
dioscorea-villosa,dioscorea villosa,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
