type,id,name,slug,reason,action
herb,herb:echinacea-purpurea,Echinacea (Echinacea purpurea),echinacea-purpurea,DUPLICATE-OF-compound:echinacea,MERGE-KEEP-compound:echinacea
herb,herb:elderberry,Elderberry,elderberry,DUPLICATE-OF-compound:elderberry,MERGE-KEEP-compound:elderberry
herb,herb:trigonella-foenum-graecum,Fenugreek,trigonella-foenum-graecum,duplicate-group:fenugreek,KEEP-CANONICAL-REVIEW
herb,herb:allium-sativum,Garlic,allium-sativum,duplicate-group:garlic,KEEP-CANONICAL-REVIEW
herb,herb:garlic,Garlic (Allium sativum),garlic,DUPLICATE-OF-herb:allium-sativum,MERGE-KEEP-herb:allium-sativum
herb,herb:ginger,Ginger (Zingiber officinale),ginger,DUPLICATE-OF-compound:ginger,MERGE-KEEP-compound:ginger
herb,herb:goldenseal,Goldenseal,goldenseal,DUPLICATE-OF-compound:goldenseal,MERGE-KEEP-compound:goldenseal
herb,herb:gotu-kola,Gotu Kola (Centella asiatica),gotu-kola,DUPLICATE-OF-compound:gotu-kola,MERGE-KEEP-compound:gotu-kola
herb,herb:gotu-kola,Gotu Kola Centella asiatica,gotu-kola,DUPLICATE-OF-compound:gotu-kola,MERGE-KEEP-compound:gotu-kola
herb,herb:green-tea-extract,Green Tea Extract,green-tea-extract,DUPLICATE-OF-compound:green-tea-extract,MERGE-KEEP-compound:green-tea-extract
herb,herb:guarana,Guarana,guarana,duplicate-group:guarana,KEEP-CANONICAL-REVIEW
herb,herb:crataegus-monogyna,Hawthorn,crataegus-monogyna,DUPLICATE-OF-compound:hawthorn,MERGE-KEEP-compound:hawthorn
herb,herb:kanna,Kanna,kanna,DUPLICATE-OF-compound:kanna,MERGE-KEEP-compound:kanna
herb,herb:piper-methysticum,Kava,piper-methysticum,DUPLICATE-OF-compound:kava,MERGE-KEEP-compound:kava
herb,herb:tyrosine,L-Tyrosine,tyrosine,DUPLICATE-OF-compound:l-tyrosine,MERGE-KEEP-compound:l-tyrosine
herb,herb:lavandula-angustifolia,Lavender,lavandula-angustifolia,DUPLICATE-OF-compound:lavender,MERGE-KEEP-compound:lavender
herb,herb:melissa-officinalis,Lemon Balm,melissa-officinalis,DUPLICATE-OF-compound:lemon-balm,MERGE-KEEP-compound:lemon-balm
herb,herb:hericium-erinaceus,Lion's Mane,hericium-erinaceus,duplicate-group:lions mane,KEEP-CANONICAL-REVIEW
herb,herb:lions-mane,Lion’s Mane,lions-mane,DUPLICATE-OF-herb:hericium-erinaceus,MERGE-KEEP-herb:hericium-erinaceus
herb,herb:maca,Maca (Lepidium meyenii),maca,DUPLICATE-OF-compound:maca,MERGE-KEEP-compound:maca
herb,herb:silybum-marianum,Milk Thistle,silybum-marianum,DUPLICATE-OF-compound:milk-thistle,MERGE-KEEP-compound:milk-thistle
herb,herb:milk-thistle,Milk Thistle (Silybum marianum),milk-thistle,DUPLICATE-OF-compound:milk-thistle,MERGE-KEEP-compound:milk-thistle
herb,herb:muira-puama,Muira Puama,muira-puama,duplicate-group:muira puama,KEEP-CANONICAL-REVIEW
herb,herb:nettle-root,Nettle Root,nettle-root,DUPLICATE-OF-compound:nettle-root,MERGE-KEEP-compound:nettle-root
herb,herb:passiflora-incarnata,Passionflower,passiflora-incarnata,DUPLICATE-OF-compound:passionflower,MERGE-KEEP-compound:passionflower
herb,herb:pau-d-arco,Pau D'arco,pau-d-arco,duplicate-group:pau d arco,KEEP-CANONICAL-REVIEW
herb,herb:phosphatidylserine,Phosphatidylserine,phosphatidylserine,DUPLICATE-OF-compound:phosphatidylserine,MERGE-KEEP-compound:phosphatidylserine
herb,herb:quercetin,Quercetin,quercetin,DUPLICATE-OF-compound:quercetin,MERGE-KEEP-compound:quercetin
herb,herb:ganoderma-lucidum,Reishi,ganoderma-lucidum,DUPLICATE-OF-herb:reishi,MERGE-KEEP-herb:reishi
herb,herb:reishi,Reishi (Ganoderma lucidum),reishi,duplicate-group:reishi,KEEP-CANONICAL-REVIEW
herb,herb:resveratrol,Resveratrol,resveratrol,DUPLICATE-OF-compound:resveratrol,MERGE-KEEP-compound:resveratrol
herb,herb:saw-palmetto,Saw Palmetto (Serenoa repens),saw-palmetto,DUPLICATE-OF-compound:saw-palmetto,MERGE-KEEP-compound:saw-palmetto
herb,herb:schisandra,Schisandra (Schisandra chinensis),schisandra,duplicate-group:schisandra,KEEP-CANONICAL-REVIEW
herb,herb:scutellaria-lateriflora,Skullcap,scutellaria-lateriflora,duplicate-group:skullcap,KEEP-CANONICAL-REVIEW
herb,herb:st-johns-wort,St. John's Wort (Hypericum perforatum),st-johns-wort,duplicate-group:st john s wort,KEEP-CANONICAL-REVIEW
herb,herb:tongkat-ali,Tongkat Ali,tongkat-ali,DUPLICATE-OF-compound:tongkat-ali,MERGE-KEEP-compound:tongkat-ali
herb,herb:turkey-tail,Turkey Tail,turkey-tail,duplicate-group:turkey tail,KEEP-CANONICAL-REVIEW
herb,herb:turmeric,Turmeric (Curcuma longa),turmeric,DUPLICATE-OF-compound:turmeric,MERGE-KEEP-compound:turmeric
herb,herb:valeriana-officinalis,Valerian,valeriana-officinalis,DUPLICATE-OF-compound:valerian,MERGE-KEEP-compound:valerian
herb,herb:yerba-mate,Yerba Mate,yerba-mate,duplicate-group:yerba mate,KEEP-CANONICAL-REVIEW
herb,herb:yohimbe,Yohimbe,yohimbe,duplicate-group:yohimbe,KEEP-CANONICAL-REVIEW
